Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_9__132_/QN,m_mZ_reg_15__81_/D,388.008,1067.76,769.896,626.04,381.888,-441.72,34.2,35.9,9.8,9.8,0.429,0.381,0.429,0.383,33.2,31.1,34.9,37.5,50.719,37.619,13.1,1535.318,1466.219
m_mFW_reg_0__270_/QN,m_mZ_reg_12__15_/D,395.568,324.72,838.584,797.76,443.016,473.04,24.4,26,9.6,9.9,0.429,0.381,0.429,0.383,25.8,23.7,25.5,28.1,55.319,12.119,43.2,1527.419,1443.219
m_mFW_reg_6__854_/QN,m_mZ_reg_3__60_/D,52.992,1034.28,822.168,683.28,769.176,-351,35.5,32.1,10,9.8,0.429,0.381,0.429,0.383,54.8,52.6,62.9,65.7,64.019,33.419,30.6,1560.6,1463.219
m_mFW_reg_5__180_/QN,m_mZ_reg_5__37_/D,120.816,353.88,836.424,691.92,715.608,338.04,29,31.2,9.7,10.1,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,18.719,30.8,1525.919,1440.619
m_mFW_reg_3__680_/QN,m_mZ_reg_9__37_/D,153.216,644.4,829.728,731.88,676.512,87.48,27.9,29.2,10.6,11,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,17.319,34.5,1502.419,1461.419
m_mFW_reg_6__854_/QN,m_mZ_reg_9__59_/D,52.992,1034.28,820.656,740.52,767.664,-293.76,36.7,32.5,9.4,9.3,0.429,0.381,0.429,0.383,54.8,52.6,62.9,65.7,64.019,18.019,46,1512.819,1446.919
m_mFW_reg_13__351_/QN,m_mZ_reg_13__103_/D,483.696,1132.56,837.072,769.68,353.376,-362.88,36.6,39.5,11.3,11.6,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,15.119,50.7,1549.2,1444.219
m_mFW_reg_16__165_/QN,m_mZ_reg_13__125_/D,47.808,1109.88,828.648,781.56,780.84,-328.32,33.7,36.9,9.1,9.5,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,11.519,46.7,1538.919,1431.519
m_mFW_reg_16__143_/QN,m_mZ_reg_13__126_/D,75.672,1134.72,838.584,778.32,762.912,-356.4,35.1,38.2,10.1,10.5,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,14.119,45.2,1524.918,1435.619
m_mFW_reg_10__270_/QN,m_mZ_reg_10__81_/D,418.248,771.84,836.856,713.52,418.608,-58.32,30,32.1,11.4,11.9,0.429,0.381,0.429,0.383,24,21.8,23.2,25.8,32.019,17.819,14.2,1532,1447.219
m_mFW_reg_13__351_/QN,m_mZ_reg_1__103_/D,483.696,1132.56,808.344,628.2,324.648,-504.36,33.2,36.1,10.3,10.9,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,41.219,24.6,1531.719,1478.919
m_mFW_reg_2__327_/QN,m_mZ_reg_8__16_/D,521.496,304.2,837.936,801,316.44,496.8,24.1,25.7,9.8,10,0.429,0.381,0.429,0.383,39.9,37.9,43.2,46,52.219,12.419,39.8,1520.2,1427.119
m_mFW_reg_4__330_/QN,m_mZ_reg_13__37_/D,302.472,306.36,831.024,780.48,528.552,474.12,34.7,37.8,9.5,9.9,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,11.519,37.6,1532.119,1433.219
m_mFW_reg_3__680_/QN,m_mZ_reg_12__38_/D,153.216,644.4,846.144,795.6,692.928,151.2,27.1,28.2,11.1,11.4,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,13.419,38.4,1556.6,1445.919
m_mFW_reg_16__165_/QN,m_mZ_reg_16__124_/D,47.808,1109.88,752.616,640.08,704.808,-469.8,32.2,35.2,11.7,12,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,42.619,15.6,1507.419,1471.019
m_mFW_reg_1__132_/QN,m_mZ_reg_10__16_/D,417.384,660.6,843.336,722.16,425.952,61.56,27.6,29,10.3,10.7,0.429,0.381,0.429,0.383,26.3,24.2,26.2,28.7,47.419,15.919,31.5,1528.519,1443.919
m_mFW_reg_8__380_/QN,m_mZ_reg_2__58_/D,287.136,792.36,799.488,640.08,512.352,-152.28,37.8,33.9,11.1,10.7,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,39.319,21.2,1509.019,1474.519
m_mFW_reg_8__380_/QN,m_mZ_reg_17__57_/D,287.136,792.36,737.496,642.24,450.36,-150.12,40.9,37.3,12.1,11.7,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,44.219,16.3,1523.718,1478.919
m_mFW_reg_9__132_/QN,m_mZ_reg_9__82_/D,388.008,1067.76,843.336,732.96,455.328,-334.8,28.9,30.1,11.2,11.6,0.429,0.381,0.429,0.383,33.2,31.1,34.9,37.5,50.719,15.919,34.8,1560,1437.419
count_val_reg_6_/QN,m_mZ_reg_10__121_/D,740.952,573.12,790.416,728.64,49.464,155.52,27,29.4,11,10.7,0.429,0.381,0.429,0.383,25.1,22.8,24,27.4,52.919,24.019,28.9,1543.5,1511.219
